,년도,월,Model,판매량
193,2022,12,GV80 Coupe (JX Coupe),0
194,2022,12,Grandeur (GN7 HEV),1154
195,2022,12,IONIQ 5 N (NE N),0
196,2022,12,Kona (SX2),0
197,2022,12,Casper (AX EV),0
198,2022,12,Santa-Fe (MX5 HEV),0
199,2022,12,GV70 (JK EV),100
200,2022,12,Niro Plus,77
201,2022,12,EV3,0
202,2022,12,EV9,0
203,2022,12,Bongo,0
204,2023,1,Kona (SX2 EV),0
205,2023,1,Kona (SX2 HEV),0
206,2023,1,IONIQ 6 (CE),23
207,2023,1,Grandeur (GN7),5407
208,2023,1,Santa-Fe (MX5),0
209,2023,1,G70 S/B (IK S/B),49
210,2023,1,GV80 Coupe (JX Coupe),0
211,2023,1,Grandeur (GN7 HEV),3711
212,2023,1,IONIQ 5 N (NE N),0
213,2023,1,Kona (SX2),620
214,2023,1,Casper (AX EV),0
215,2023,1,Santa-Fe (MX5 HEV),0
216,2023,1,GV70 (JK EV),3
217,2023,1,Niro Plus,0
218,2023,1,EV3,0
219,2023,1,EV9,0
220,2023,1,Bongo,3580
221,2023,2,Kona (SX2 EV),0
222,2023,2,Kona (SX2 HEV),0
223,2023,2,IONIQ 6 (CE),1632
224,2023,2,Grandeur (GN7),5419
225,2023,2,Santa-Fe (MX5),0
226,2023,2,G70 S/B (IK S/B),25
227,2023,2,GV80 Coupe (JX Coupe),0
228,2023,2,Grandeur (GN7 HEV),4396
229,2023,2,IONIQ 5 N (NE N),0
230,2023,2,Kona (SX2),3127
231,2023,2,Casper (AX EV),0
232,2023,2,Santa-Fe (MX5 HEV),0
233,2023,2,GV70 (JK EV),177
234,2023,2,Niro Plus,292
235,2023,2,EV3,0
236,2023,2,EV9,0
237,2023,2,Bongo,8977
238,2023,3,Kona (SX2 EV),0
239,2023,3,Kona (SX2 HEV),989
240,2023,3,IONIQ 6 (CE),2200
241,2023,3,Grandeur (GN7),5561
242,2023,3,Santa-Fe (MX5),0
243,2023,3,G70 S/B (IK S/B),76
244,2023,3,GV80 Coupe (JX Coupe),0
245,2023,3,Grandeur (GN7 HEV),5355
246,2023,3,IONIQ 5 N (NE N),0
247,2023,3,Kona (SX2),3758
248,2023,3,Casper (AX EV),0
249,2023,3,Santa-Fe (MX5 HEV),0
250,2023,3,GV70 (JK EV),302
251,2023,3,Niro Plus,460
252,2023,3,EV3,0
253,2023,3,EV9,0
254,2023,3,Bongo,6806
255,2023,4,Kona (SX2 EV),0
256,2023,4,Kona (SX2 HEV),1653
257,2023,4,IONIQ 6 (CE),1316
258,2023,4,Grandeur (GN7),4818
259,2023,4,Santa-Fe (MX5),0
260,2023,4,G70 S/B (IK S/B),23
261,2023,4,GV80 Coupe (JX Coupe),0
262,2023,4,Grandeur (GN7 HEV),5179
263,2023,4,IONIQ 5 N (NE N),0
264,2023,4,Kona (SX2),2370
265,2023,4,Casper (AX EV),0
266,2023,4,Santa-Fe (MX5 HEV),0
267,2023,4,GV70 (JK EV),320
268,2023,4,Niro Plus,475
269,2023,4,EV3,0
270,2023,4,EV9,0
271,2023,4,Bongo,5258
272,2023,5,Kona (SX2 EV),64
273,2023,5,Kona (SX2 HEV),974
274,2023,5,IONIQ 6 (CE),1117
275,2023,5,Grandeur (GN7),4684
276,2023,5,Santa-Fe (MX5),0
277,2023,5,G70 S/B (IK S/B),33
278,2023,5,GV80 Coupe (JX Coupe),0
279,2023,5,Grandeur (GN7 HEV),6897
280,2023,5,IONIQ 5 N (NE N),0
281,2023,5,Kona (SX2),1474
282,2023,5,Casper (AX EV),0
283,2023,5,Santa-Fe (MX5 HEV),0
284,2023,5,GV70 (JK EV),327
285,2023,5,Niro Plus,462
286,2023,5,EV3,0
287,2023,5,EV9,0
288,2023,5,Bongo,5269
289,2023,6,Kona (SX2 EV),664
290,2023,6,Kona (SX2 HEV),941
291,2023,6,IONIQ 6 (CE),491
292,2023,6,Grandeur (GN7),4012
293,2023,6,Santa-Fe (MX5),0
294,2023,6,G70 S/B (IK S/B),40
295,2023,6,GV80 Coupe (JX Coupe),0
296,2023,6,Grandeur (GN7 HEV),7516
297,2023,6,IONIQ 5 N (NE N),0
298,2023,6,Kona (SX2),1529
299,2023,6,Casper (AX EV),0
300,2023,6,Santa-Fe (MX5 HEV),0
301,2023,6,GV70 (JK EV),247
302,2023,6,Niro Plus,298
303,2023,6,EV3,0
304,2023,6,EV9,1334
305,2023,6,Bongo,4435
